일자,세대명,위치,공종,부위,하자유형,미처리하자
2022-08-27 11:14:22,532동 7517호,다용도실,건축,천장,다용도실 천장 균열,-
2021-10-19 13:28:23,642동 9927호,침실 발코니,건축,천장,침실 바로니 천장에 시멘트 마감이 되지 않았고 오염이 심함,-
2018-12-14 20:03:38,738동 2165호,거실,건축,벽,거실 벽이 부분 부분 검정색으로 오염되어 있음.,-
2018-12-27 11:22:20,801동 4021호,화장실,건축,벽,화장실 거울 깨짐,-
2021-07-07 19:15:24,740동 153호,,전기,,인터폰 소리가 기계음처럼 들림,-
2021-03-23 04:33:15,361동 4494호,다용도실,건축,,다용도실 창문에 결로현상이 심하게 발생해서 물방울이 맺힘,-
2019-10-17 17:25:23,946동 6137호,거실,건축,,"거실 창문에 방충망이 설치가 안되어 있고, 창틀이 오염 됐어요.",-
2019-04-20 01:52:49,118동 1615호,주방,건축,바닥,씽크대 쪽 걸레받이 고정되지 않음,-
2018-06-13 05:03:49,953동 6763호,주방,건축,,"주방 아이랜드 식탁 오른쪽 부분이 깨져있고, 파손되어 있어요.",-
2020-04-01 13:56:38,593동 2958호,화장실,건축,,화장실 욕조 홈패어 있음,-
2018-04-16 21:35:51,689동 5216호,화장실,설비,,화장실 변기 뚜껑 불량,-
2019-04-28 04:17:59,126동 4266호,화장실,설비,,화장실 수전꽂이 불량,-
2020-02-08 14:52:05,229동 5268호,화장실,건축,,화장실 세면대 위 대리석 금 가고 모서리 부분 깨져 있음.,-
2019-12-23 03:02:49,944동 9094호,거실,설비,천장,거실 시스템에어컨 물 떨어짐,-
2020-03-29 04:01:43,288동 6344호,침실,전기,벽,침실 스마트 패드가 작동을 안해요,-
2018-05-09 12:20:12,804동 7129호,화장실,설비,,화장실 샤워부스 유리문 개폐 불량합니다.,-
2021-11-13 09:24:31,676동 5149호,현관,건축,,현관 도어락 기스가 많이 나있어요.,-
2022-11-14 00:05:11,519동 1644호,드레스룸,건축,,드레스룹 수납장 조작불량,-
2021-09-01 02:46:33,481동 8926호,화장실,설비,,화장실 욕조 부착상태와 실리콘 처리가 불량,-
